Date,Product_ID,Product,Category,Quantity,Unit_Price,Total_Sales,Customer_ID,Store_Location,Payment_Method
2023-01-01,HOU836,Toilet_Paper,Household,2,5.28,10.56,12231.0,Physical,CreditCard
2023-01-01,SNA930,Granola_Bars,Snacks,3,1.01,3.03,73559.0,Physical,MobileApp
2023-01-01,SNA313,Nuts,Snacks,6,3.4,20.4,56302.0,Online,MobileApp
2023-01-01,PRO347,Lettuce,Produce,3,1.53,4.59,11964.0,Physical,Cash
2023-01-01,DAI914,Butter,Dairy,2,3.46,6.92,83100.0,Physical,Cash
2023-01-01,BAK194,Muffins,Bakery,8,4.22,33.76,81501.0,Physical,MobileApp
2023-01-01,PRO482,Bananas,Produce,9,0.87,7.83,16009.0,Physical,Cash
2023-01-01,MEA37,Beef,Meat,7,9.02,63.14,61557.0,Physical,DebitCard
2023-01-01,BEV516,Soda,Beverages,4,2.53,10.12,81810.0,Physical,DebitCard
2023-01-01,PRO324,Tomatoes,Produce,2,2.52,5.04,43370.0,Online,DebitCard
2023-01-01,MEA28,Beef,Meat,4,12.74,50.96,6007.0,Physical,CreditCard
2023-01-01,BEV745,Coffee,Beverages,8,173.54,1388.33,80000.0,Physical,DebitCard
2023-01-01,HOU868,Soap,Household,8,9.89,79.12,95443.0,Physical,CreditCard
2023-01-01,PRO84,Lettuce,Produce,7,1.84,12.88,73528.0,Physical,MobileApp
2023-01-02,CAN567,Soup,Canned Goods,1,2.18,2.18,63845.0,Physical,Cash
2023-01-02,MEA913,Sausage,Meat,4,12.75,51.0,20603.0,Physical,CreditCard
2023-01-02,BAK688,Bread,Bakery,2,5.8,11.6,77007.0,Online,MobileApp
2023-01-02,PRO887,Bananas,Produce,6,1.38,8.28,25695.0,Online,DebitCard
2023-01-02,MEA935,Beef,Meat,9,10.38,93.42,17614.0,Online,MobileApp
2023-01-02,CAN799,Tuna,Canned Goods,8,119.86,958.85,68638.0,Online,Cash
2023-01-02,MEA157,Pork,Meat,6,8.83,52.98,51450.0,Physical,CreditCard
2023-01-02,MEA777,Beef,Meat,6,148.97,893.83,46124.0,Physical,CreditCard
2023-01-02,MEA514,Sausage,Meat,7,5.86,41.02,23827.0,Physical,Cash
2023-01-02,HOU196,Batteries,Household,5,9.21,46.05,26067.0,Online,MobileApp
2023-01-02,MEA145,Chicken,Meat,2,7.17,14.34,94867.0,Physical,Cash
2023-01-02,CAN730,Beans,Canned Goods,1,1.86,1.86,49045.0,Physical,DebitCard
2023-01-02,HOU437,Batteries,Household,4,2.68,10.72,38191.0,Online,Cash
2023-01-02,CAN234,Tuna,Canned Goods,8,1.05,8.4,78325.0,Physical,MobileApp
2023-01-02,HOU523,Batteries,Household,7,2.88,20.16,47187.0,Physical,DebitCard
2023-01-03,MEA38,Chicken,Meat,6,13.85,83.1,47090.0,Physical,MobileApp
2023-01-03,BEV58,Juice,Beverages,7,1.71,11.97,334.0,Online,MobileApp
2023-01-03,SNA104,Candy,Snacks,4,3.86,15.44,54073.0,Physical,Cash
2023-01-03,PRO247,Tomatoes,Produce,9,2.48,22.32,16803.0,Online,Cash
2023-01-03,SNA404,Chips,Snacks,2,4.05,8.1,94519.0,Physical,MobileApp
2023-01-03,SNA798,Candy,Snacks,5,1.77,8.85,96622.0,Online,MobileApp
2023-01-03,MEA157,Beef,Meat,3,8.13,24.39,87900.0,Online,Cash
2023-01-03,BEV427,Coffee,Beverages,1,1.6,1.6,9033.0,Online,CreditCard
2023-01-03,HOU226,Soap,Household,3,5.29,15.87,68953.0,Physical,MobileApp
2023-01-03,SNA856,Chips,Snacks,3,2.09,6.27,9243.0,Online,CreditCard
2023-01-03,DAI896,Cheese,Dairy,6,4.86,29.16,49418.0,Physical,CreditCard
2023-01-03,MEA544,Beef,Meat,9,13.91,125.19,89148.0,Online,MobileApp
2023-01-03,PRO488,Bananas,Produce,3,0.79,2.37,43850.0,Online,DebitCard
2023-01-03,PRO392,Bananas,Produce,8,1.56,12.48,93177.0,Online,MobileApp
2023-01-03,SNA475,Granola_Bars,Snacks,6,3.74,22.44,92690.0,Physical,DebitCard
2023-01-03,MEA629,Sausage,Meat,8,13.51,108.08,68727.0,Online,CreditCard
2023-01-04,PRO738,Bananas,Produce,3,1.63,4.89,85196.0,Physical,Cash
2023-01-04,PRO90,Tomatoes,Produce,7,0.69,4.83,79449.0,Physical,MobileApp
2023-01-04,CAN280,Soup,Canned Goods,2,1.39,2.78,29004.0,Online,Cash
2023-01-04,DAI621,Butter,Dairy,4,4.09,16.36,74877.0,Online,CreditCard
2023-01-04,CAN863,Beans,Canned Goods,3,2.32,6.96,34509.0,Physical,CreditCard
2023-01-04,DAI844,Butter,Dairy,4,3.08,12.32,42227.0,Physical,DebitCard
2023-01-04,MEA891,Chicken,Meat,6,12.87,77.22,64118.0,Physical,DebitCard
2023-01-04,BEV723,Water,Beverages,9,3.99,35.91,27154.0,Physical,DebitCard
2023-01-04,BAK964,Muffins,Bakery,3,1.96,5.88,74721.0,Physical,Cash
2023-01-04,SNA476,Candy,Snacks,4,1.63,6.52,34414.0,Physical,CreditCard
2023-01-04,SNA809,Nuts,Snacks,4,1.1,4.4,73505.0,Online,Cash
2023-01-04,CAN212,Corn,Canned Goods,6,1.05,6.3,97298.0,Online,CreditCard
2023-01-04,HOU170,Detergent,Household,6,3.25,19.5,78209.0,Physical,CreditCard
2023-01-04,BAK963,Cookies,Bakery,7,2.62,18.34,6902.0,Online,CreditCard
2023-01-05,BEV610,Coffee,Beverages,7,2.5,17.5,93397.0,Physical,DebitCard
2023-01-05,BAK424,Cookies,Bakery,3,3.86,11.58,85247.0,Online,MobileApp
2023-01-05,HOU27,Toilet_Paper,Household,2,3.4,6.8,36386.0,Physical,Cash
2023-01-05,PRO826,Apples,Produce,1,117.15,117.15,75528.0,Physical,MobileApp
2023-01-05,HOU611,Soap,Household,8,6.17,49.36,78315.0,Physical,MobileApp
2023-01-05,MEA186,Chicken,Meat,8,8.72,69.76,60127.0,Online,CreditCard
2023-01-05,PRO40,Bananas,Produce,5,2.07,10.35,49568.0,Online,Cash
2023-01-05,BEV821,Coffee,Beverages,8,2.65,21.2,99564.0,Physical,Cash
2023-01-05,BAK924,Cakes,Bakery,9,5.04,45.36,25344.0,Physical,Cash
2023-01-05,BAK409,Cakes,Bakery,9,5.96,53.64,65076.0,Physical,Cash
2023-01-05,DAI176,Butter,Dairy,7,2.33,16.31,40195.0,Physical,CreditCard
2023-01-05,PRO105,Apples,Produce,9,1.94,17.46,44161.0,Online,MobileApp
2023-01-05,BEV405,Juice,Beverages,6,3.43,20.58,44359.0,Physical,Cash
2023-01-05,PRO875,Bananas,Produce,1,1.61,1.61,25851.0,Physical,Cash
2023-01-05,DAI796,Milk,Dairy,2,2.42,4.84,51766.0,Physical,Cash
2023-01-05,MEA888,Sausage,Meat,4,10.89,43.56,62337.0,Physical,MobileApp
2023-01-05,PRO642,Apples,Produce,5,1.05,5.25,44516.0,Physical,MobileApp
2023-01-05,CAN272,Beans,Canned Goods,4,1.31,5.24,93107.0,Physical,MobileApp
2023-01-05,MEA566,Beef,Meat,-3,9.83,-29.49,67601.0,Physical,MobileApp
2023-01-05,DAI566,Butter,Dairy,1,2.73,2.73,32462.0,Physical,CreditCard
2023-01-05,DAI575,Cheese,Dairy,9,1.79,16.11,83824.0,Physical,DebitCard
2023-01-06,HOU939,Detergent,Household,9,9.69,87.21,65221.0,Physical,DebitCard
2023-01-06,CAN147,Corn,Canned Goods,7,1.81,12.67,69564.0,Online,MobileApp
2023-01-06,MEA580,Pork,Meat,5,5.0,25.0,50374.0,Online,Cash
2023-01-06,CAN697,Soup,Canned Goods,3,2.41,7.23,7634.0,Online,DebitCard
2023-01-06,BAK303,Bread,Bakery,5,5.95,29.75,19188.0,Online,MobileApp
2023-01-06,CAN335,Beans,Canned Goods,3,1.54,4.62,54894.0,Physical,DebitCard
2023-01-06,CAN750,Tuna,Canned Goods,8,2.2,17.6,23857.0,Physical,MobileApp
2023-01-06,BEV996,Euicj,Beverages,6,1.6,9.6,85740.0,Physical,MobileApp
2023-01-06,HOU43,Soap,Household,3,2.0,6.0,85511.0,Physical,MobileApp
2023-01-06,BAK171,Muffins,Bakery,7,2.87,20.09,54778.0,Physical,CreditCard
2023-01-07,HOU902,Batteries,Household,6,2.31,13.86,91127.0,Physical,CreditCard
2023-01-07,MEA532,Beef,Meat,8,8.11,64.88,42918.0,Physical,Cash
2023-01-07,CAN311,Beans,Canned Goods,6,2.13,12.78,12303.0,Physical,MobileApp
2023-01-07,SNA826,Nuts,Snacks,5,3.07,15.35,61496.0,Online,CreditCard
2023-01-07,HOU376,Batteries,Household,1,5.54,5.54,95287.0,Physical,Cash
2023-01-07,DAI683,Butter,Dairy,3,2.9,8.7,26431.0,Physical,CreditCard
2023-01-07,HOU623,Soap,Household,5,7.72,38.6,58393.0,Physical,CreditCard
2023-01-07,MEA576,Chicken,Meat,4,5.41,21.64,26017.0,Online,CreditCard
2023-01-07,SNA269,Chips,Snacks,1,4.14,4.14,63480.0,Physical,MobileApp
2023-01-07,DAI231,Cheese,Dairy,8,3.86,30.88,25643.0,Physical,CreditCard
2023-01-07,SNA418,Granola_Bars,Snacks,7,1.04,7.28,33977.0,Physical,Cash
2023-01-07,CAN488,Tuna,Canned Goods,7,2.26,15.82,5290.0,Physical,MobileApp
2023-01-07,BEV611,Coffee,Beverages,5,1.33,6.65,54447.0,Physical,MobileApp
2023-01-07,HOU101,Aosp,Household,8,4.03,32.24,64300.0,Online,Cash
2023-01-07,PRO302,Tomatoes,Produce,4,0.52,2.08,75619.0,Physical,Cash
2023-01-07,BEV499,Juice,Beverages,6,1.15,6.9,46320.0,Online,Cash
2023-01-07,HOU562,Batteries,Household,4,9.84,39.36,39797.0,Physical,CreditCard
2023-01-08,PRO467,Lettuce,Produce,7,1.17,8.19,62893.0,Online,Cash
2023-01-08,SNA552,Nuts,Snacks,3,1.04,3.12,75002.0,Physical,MobileApp
2023-01-08,SNA323,Nuts,Snacks,5,2.63,13.15,12668.0,Online,Cash
2023-01-08,DAI786,Butter,Dairy,9,2.05,18.45,92938.0,Physical,MobileApp
2023-01-08,CAN871,Beans,Canned Goods,9,2.27,20.43,7450.0,Physical,MobileApp
2023-01-08,MEA271,Beef,Meat,9,5.77,51.93,52614.0,Physical,CreditCard
2023-01-08,BAK117,Muffins,Bakery,8,2.63,21.04,82084.0,Physical,Cash
2023-01-08,DAI76,Milk,Dairy,9,3.03,27.27,41935.0,Physical,MobileApp
2023-01-08,MEA846,Chicken,Meat,4,12.25,49.0,38212.0,Physical,Cash
2023-01-08,SNA360,Granola_Bars,Snacks,4,1.84,7.36,60779.0,Physical,Cash
2023-01-08,SNA340,Nuts,Snacks,2,2.95,5.9,63699.0,Physical,MobileApp
2023-01-08,PRO716,Tomatoes,Produce,5,0.58,2.9,22888.0,Physical,MobileApp
2023-01-08,CAN65,Soup,Canned Goods,4,1.68,6.72,68327.0,Physical,Cash
2023-01-08,DAI427,Milk,Iadry,1,2.24,2.24,36924.0,Online,DebitCard
2023-01-08,BAK482,Cakes,Bakery,6,3.82,22.92,44205.0,Online,Cash
2023-01-08,SNA715,Candy,Snacks,9,2.89,26.01,41320.0,Online,DebitCard
2023-01-08,MEA162,Pork,Meat,6,8.77,52.62,2632.0,Physical,MobileApp
2023-01-08,DAI70,Yogurt,Dairy,7,3.28,22.96,37518.0,Physical,DebitCard
2023-01-08,DAI990,Yogurt,Dairy,3,3.84,11.52,84484.0,Physical,DebitCard
2023-01-09,CAN81,Beans,Canned Goods,1,2.24,2.24,86705.0,Physical,MobileApp
2023-01-09,PRO550,Lettuce,Produce,3,1.27,3.81,9541.0,Online,DebitCard
2023-01-09,MEA636,Beef,Meat,5,8.02,40.1,30873.0,Physical,CreditCard
2023-01-09,BEV493,Water,Beverages,4,2.28,9.12,12754.0,Online,Cash
2023-01-09,SNA370,Granola_Bars,Snacks,6,1.08,6.48,14177.0,Physical,MobileApp
2023-01-09,SNA904,Nuts,Snacks,9,4.13,37.17,73588.0,Physical,DebitCard
2023-01-09,DAI954,Yogurt,Dairy,1,2.93,2.93,60155.0,Physical,Cash
2023-01-09,SNA409,Nuts,Snacks,9,1.58,14.22,34307.0,Physical,DebitCard
2023-01-10,HOU510,Detergent,Household,7,166.49,1165.42,25998.0,Online,Cash
2023-01-10,BEV777,Water,Beverages,3,3.98,11.94,98818.0,Physical,DebitCard
2023-01-10,BAK686,Cakes,Bakery,6,4.74,28.44,5021.0,Online,Cash
2023-01-10,BAK92,Cakes,Bakery,8,2.54,20.32,22012.0,Physical,MobileApp
2023-01-10,BEV187,Coffee,Beverages,4,104.41,417.64,700.0,Physical,MobileApp
2023-01-10,BEV187,Coffee,Beverages,4,2.82,11.28,700.0,Physical,MobileApp
2023-01-10,HOU82,Batteries,Household,7,5.52,38.64,78632.0,Physical,MobileApp
2023-01-10,BAK115,Muffins,Bakery,5,3.64,18.2,88835.0,Physical,DebitCard
2023-01-10,SNA391,Nuts,Snacks,9,1.79,16.11,6704.0,Physical,CreditCard
2023-01-10,SNA152,Chips,Ssackn,8,3.09,24.72,83843.0,Physical,DebitCard
2023-01-10,BAK459,Cookies,Bakery,9,4.11,36.99,43967.0,Physical,DebitCard
2023-01-10,CAN172,Soup,Canned Goods,4,1.92,7.68,98684.0,Physical,CreditCard
2023-01-10,BEV820,Soda,Beverages,5,0.64,3.2,41935.0,Physical,MobileApp
2023-01-10,DAI50,Butter,Dairy,1,4.06,4.06,2597.0,Physical,MobileApp
2023-01-11,DAI191,Milk,Dairy,4,2.32,9.28,21117.0,Physical,MobileApp
2023-01-11,PRO314,Lectute,Produce,8,1.56,12.48,74206.0,Physical,MobileApp
2023-01-11,MEA680,Sausage,Meat,6,8.45,50.7,87405.0,Physical,DebitCard
2023-01-11,BAK737,Cakes,Bakery,7,2.19,15.33,11684.0,Physical,Cash
2023-01-11,CAN520,Beans,Canned Goods,6,2.38,14.28,21999.0,Physical,DebitCard
2023-01-11,HOU191,Detergent,Household,8,70.95,567.63,50678.0,Physical,DebitCard
2023-01-11,CAN71,Tuna,Canned Goods,6,2.39,14.34,14507.0,Physical,MobileApp
2023-01-11,MEA181,Chicken,Meat,4,12.7,50.8,46361.0,Physical,DebitCard
2023-01-11,PRO419,Bananas,Produce,7,1.44,10.08,19465.0,Physical,DebitCard
2023-01-11,SNA778,Chips,Snacks,7,2.23,15.61,79561.0,Physical,DebitCard
2023-01-11,SNA553,Granola_Bars,Snacks,2,4.15,8.3,46966.0,Physical,CreditCard
2023-01-11,SNA937,Nuts,Snacks,6,1.82,10.92,85357.0,Physical,CreditCard
2023-01-11,PRO334,Bananas,Produce,9,0.53,4.77,94622.0,Online,CreditCard
2023-01-12,SNA392,Candy,Snacks,3,4.35,13.05,61157.0,Physical,MobileApp
2023-01-12,PRO643,Apples,Produce,7,2.6,18.2,87468.0,Physical,CreditCard
2023-01-12,BEV846,Water,Beverages,4,3.38,13.52,32456.0,Physical,CreditCard
2023-01-12,PRO903,Apples,Produce,7,2.41,16.87,72441.0,Physical,DebitCard
2023-01-12,BEV431,Water,Beverages,5,1.49,7.45,99646.0,Physical,Cash
